cylinders,displacement,hp,weight_lbs,acceleration,year,Weight_kg,mpg_category,Vehicle_age,origin_europe,origin_japan,origin_usa,miles_per_gallon
4.0,146.0,88.0,2890.0,17.3,1979,1310.88088,Medium,47,False,False,True,22.3
6.0,232.0,90.0,3265.0,18.2,1979,1480.97788,Medium,47,False,False,True,20.2
6.0,225.0,104.3160621761658,3360.0,16.6,1979,1524.0691199999999,Medium,47,False,False,True,20.6
8.0,305.0,130.0,3840.0,15.4,1979,1741.7932799999999,Low,47,False,False,True,17.0
8.0,302.0,129.0,2965.0252525252527,13.4,1979,1344.9117343434343,Low,47,False,False,True,17.6
8.0,351.0,138.0,3955.0,13.2,1979,1793.95636,Low,47,False,False,True,16.5
8.0,318.0,135.0,3830.0,15.2,1979,1737.25736,Low,47,False,False,True,18.2
8.0,350.0,155.0,4360.0,14.9,1979,1977.66112,Low,47,False,False,True,16.9
8.0,351.0,142.0,4054.0,14.3,1979,1838.861968,Low,47,False,False,True,15.5
8.0,267.0,125.0,3605.0,15.0,1979,1635.19916,Low,47,False,False,True,19.2
8.0,360.0,150.0,3940.0,13.0,1979,1787.15248,Low,47,False,False,True,18.5
4.0,89.0,71.0,1925.0,14.0,1979,873.1646,High,47,True,False,False,31.9
4.0,86.0,65.0,1975.0,15.2,1979,895.8442,High,47,False,True,False,34.1
4.0,98.0,80.0,1915.0,14.4,1979,868.62868,High,47,False,False,True,35.7
4.0,121.0,80.0,2670.0,15.0,1979,1211.09064,Medium,47,False,False,True,27.4
5.0,183.0,77.0,3530.0,20.1,1979,1601.17976,Medium,47,True,False,False,25.4
8.0,350.0,125.0,3900.0,17.4,1979,1769.0088,Medium,47,False,False,True,23.0
4.0,141.0,71.0,3190.0,24.8,1979,1446.95848,Medium,47,True,False,False,27.2
8.0,260.0,90.0,3420.0,22.2,1979,1551.28464,Medium,47,False,False,True,23.9
4.0,105.0,70.0,2200.0,13.2,1979,997.9024,High,47,False,False,True,34.2
4.0,105.0,70.0,2150.0,14.9,1979,975.2228,High,47,False,False,True,34.5
4.0,85.0,65.0,2020.0,19.2,1979,916.25584,High,47,False,True,False,31.8
